year;month;n_months;tot_electric_power_industry;electric_generators_electric_utilities;combined_heat&power_industrial_power
2014;7;163;1367926;750992;0
2014;8;164;1442126;794387;0
2014;9;165;1371348;838998;0
2014;10;166;816581;542194;0
2014;11;167;872036;393845;0
2014;12;168;1082747;682217;0
2015;1;169;1341086;719075;0
2015;2;170;1050493;534246;0
2015;3;171;893334;454097;0
2015;4;172;386689;100555;0
2015;5;173;689383;482844;0
2015;6;174;1069141;639846;0
2015;7;175;1090970;694785;0
2015;8;176;1124274;748853;0
2015;9;177;969025;724659;0
2015;10;178;702758;482049;0
2015;11;179;763473;554160;0
2015;12;180;674514;535842;0
2016;1;181;763534;529570;0
2016;2;182;651023;505740;0
2016;3;183;505274;482989;0
2016;4;184;390315;243493;0
2016;5;185;587995;413732;0
2016;6;186;924180;573650;0
