"n_weeks","weekly_CO_mean","weekly_NO2_mean","weekly_O3_mean","weekly_SO2_mean"
1,0.774157571428571,0.0153357142857143,20.7981291428571,7.50119442857143
2,0.802976857142857,0.0152801428571429,17.205071,5.53232064285714
3,0.840115,0.0179177142857143,18.1035714285714,6.40327378571429
4,0.7033035,0.0162928571428571,15.4154761428571,5.89988021428571
5,0.879294285714286,0.023414,20.4185374285714,2.65286028571429
6,1.08123285714286,0.0214282857142857,31.5638051428571,4.15267471428571
7,0.581655785714286,0.019089,17.7066327142857,2.66111235714286
8,0.486120214285714,0.0260004285714286,17.059864,3.06790735714286
9,0.560635785714286,0.023057,17.8741497142857,3.06886592857143
10,0.707383785714286,0.02385,18.7267007142857,2.91998678571429
11,0.822580571428571,0.0234201428571429,17.442262,1.56893171428571
12,0.979201785714286,0.0244341428571429,22.1144558571429,3.33705164285714
13,0.580393285714286,0.0240495714285714,18.0571428571429,3.660266
14,0.568049071428571,0.0191391428571429,17.572449,2.135119
15,0.6101745,0.0196488571428571,17.3198981428571,4.57015307142857
16,0.676185285714286,0.0278564285714286,15.4258504285714,2.44483692857143
17,0.7125745,0.034932,15.7082708571429,3.53462585714286
18,0.897718214285714,0.0308051428571429,19.2833334285714,3.46020421428571
19,0.692737357142857,0.0155978571428571,12.334632,1.42347885714286
20,0.560059071428571,0.0345315714285714,16.78842,2.61147964285714
21,0.558892642857143,0.0170084285714286,10.6482992857143,1.21711614285714
22,0.656714,0.0315931428571429,12.5862468571429,2.46101185714286
23,0.705948214285714,0.0268057142857143,12.835606,2.82914728571429
24,0.813816071428571,0.0221258571428571,15.5488095714286,2.61267007142857
25,0.920337,0.0103177142857143,14.0381724285714,1.27930021428571
26,0.839060428571429,0.0202961428571429,15.6079931428571,1.26863021428571
27,0.701305071428571,0.033333,17.3181972857143,3.72483378571429
28,0.527334,0.0304181428571429,13.5465985714286,1.95499385714286
29,0.697792142857143,0.0424317142857143,10.7489114285714,1.79851342857143
30,1.067746,0.0425451428571429,18.4005874285714,2.27704257142857
31,0.314977642857143,0.0246608571428571,13.16539,1.11434028571429
32,0.413412142857143,0.0306914285714286,13.4952071428571,1.92985221428571
33,0.584087142857143,0.0361614285714286,16.5040971428571,3.72242192857143
34,0.698152428571429,0.037407,19.532854,3.42501242857143
35,0.712538571428571,0.0422171428571429,17.3860544285714,4.36166121428571
36,0.766049571428571,0.0370058571428571,11.8722171428571,4.73464221428571
37,0.865155428571429,0.0177607142857143,17.0575912857143,4.418106
38,0.887713928571429,0.0247308571428571,15.9564008571429,4.19472785714286
39,0.808677357142857,0.0228125714285714,13.0665584285714,4.21789892857143
40,0.914069357142857,0.021245,15.3618197142857,3.06517864285714
41,0.708901571428571,0.0223485714285714,19.2930581428571,3.14483621428571
42,0.723734857142857,0.0288235714285714,24.7097247142857,7.06327328571429
43,0.889214928571429,0.0308952857142857,22.0935375714286,3.09257928571429
44,1.04848921428571,0.027995,28.4586167142857,3.55787128571429
45,0.924362357142857,0.0156722857142857,14.0603744285714,1.58035707142857
46,0.763505642857143,0.0116872857142857,16.5574592857143,4.5126855
47,1.00845571428571,0.0149571428571429,17.2310605714286,1.86039757142857
48,1.18087378571429,0.0101728571428571,27.2823128571429,3.2914795
49,0.565034714285714,0.00757528571428571,21.7759122857143,10.2001817857143
50,0.614231285714286,0.010039,20.3093,7.65394742857143
51,0.9936225,0.0141548571428571,17.6453308571429,7.639368
52,1.04713721428571,0.0148761428571429,12.243352,6.18086342857143
53,0.615669928571429,0.0154897142857143,18.5103251428571,9.30883664285714
54,0.924413285714286,0.0152491428571429,20.0823284285714,7.96934535714286
55,0.921149,0.0116127142857143,14.6649661428571,3.82384807142857
56,1.20393764285714,0.0130812857142857,27.173186,9.08306778571429
57,0.951344,0.020025,18.4594157142857,6.58409092857143
58,0.644671785714286,0.0207618571428571,23.7711811428571,9.36882435714286
59,0.495569857142857,0.0163982857142857,21.3703462857143,7.04548914285714
60,1.10035721428571,0.0198418571428571,18.571042,5.40174321428571
61,1.01026335714286,0.0111367142857143,12.0554268571429,5.69911607142857
62,0.953611428571429,0.0313377142857143,21.022759,9.68334878571429
63,0.892632214285714,0.0289808571428571,16.1595984285714,6.4689265
64,0.858274928571429,0.033063,22.1427461428571,11.2126239285714
65,0.699444428571429,0.0304807142857143,13.0729747142857,7.28711735714286
66,0.476777928571429,0.0282345714285714,13.8166355714286,6.79260207142857
67,0.654048142857143,0.0193605714285714,9.38435385714286,5.96458335714286
68,0.740119357142857,0.0336267142857143,12.2683982857143,6.06836728571429
69,1.01922792857143,0.0332542857142857,15.4373841428571,4.39046371428571
70,0.731878857142857,0.0406427142857143,9.98519157142857,1.40303907142857
71,0.539387428571429,0.0345435714285714,18.1555811428571,2.60791578571429
72,0.542261928571429,0.027157,11.1529872857143,2.3474235
73,0.639609142857143,0.0325237142857143,14.0622295714286,3.85093678571429
74,0.780607714285714,0.0127977142857143,11.5743694285714,0.858391928571429
75,0.837183928571429,0.0109402857142857,9.30986728571429,0.854259428571429
76,0.942352571428571,0.0306308571428571,9.904997,1.77995828571429
77,0.646920357142857,0.0320891428571429,17.3901514285714,2.91301492857143
78,0.658268714285714,0.0251488571428571,19.4457228571429,2.57281764285714
79,0.705176,0.0264284285714286,15.8149584285714,1.62467464285714
80,0.668788857142857,0.0341785714285714,13.4712968571429,1.20813021428571
81,0.8216355,0.0314584285714286,15.516182,1.30961921428571
82,0.840541,0.0173154285714286,15.4356297142857,1.41228742857143
83,0.884045142857143,0.0302918571428571,12.4726144285714,0.245094
84,0.7748655,0.010149,14.8359057142857,1.83412614285714
85,0.651419785714286,0.0205655714285714,15.2238871428571,1.28344971428571
86,0.766899642857143,0.0318451428571429,21.2091097142857,1.88590092857143
87,0.857194714285714,0.00851185714285714,16.7983484285714,1.002917
88,0.943077071428571,0.0131727142857143,16.1444571428571,2.15098157142857
89,0.927161,0.0327775714285714,14.9954592857143,1.34314321428571
90,1.01742992857143,0.0292024285714286,17.289761,2.84834357142857
91,0.871583785714286,0.033643,14.8781057142857,1.58485764285714
92,0.828905571428571,0.0253095714285714,19.5578532857143,1.58718871428571
93,0.583410857142857,0.0184224285714286,14.7105684285714,0.411756857142857
94,0.932712214285714,0.0193074285714286,23.4742971428571,2.06972257142857
95,0.711024785714286,0.0188095714285714,17.334651,0.751077714285714
96,0.872289714285714,0.0231845714285714,18.9149728571429,0.718722357142857
97,1.29443578571429,0.0258452857142857,31.2065217142857,3.17610371428571
98,0.934354928571429,0.0175935714285714,28.0245261428571,2.06055242857143
99,0.664259857142857,0.0177264285714286,17.1153068571429,2.43859064285714
100,1.16904764285714,0.0161725714285714,23.9150902857143,3.2878715
101,0.8628105,0.00945857142857143,21.7535762857143,3.01540778571429
102,0.916847928571429,0.0162382857142857,19.5347262857143,3.82146371428571
103,0.890916142857143,0.0181408571428571,22.2729862857143,5.15251592857143
104,0.987422428571429,0.0183348571428571,19.7069687142857,4.87382985714286
105,0.664771571428571,0.0150118571428571,26.5731461428571,5.4069875
106,0.740799714285714,0.0123155714285714,32.023974,3.84383507142857
107,0.747217785714286,0.0117917142857143,24.2490588571429,1.88172857142857
108,0.785222571428571,0.0128451428571429,20.3022942857143,3.39805542857143
109,0.701332785714286,0.0204881428571429,16.4978354285714,2.93286807142857
110,0.862396357142857,0.0196787142857143,23.7283785714286,3.94559678571429
111,0.423582714285714,0.0239761428571429,26.5112304285714,5.06292014285714
112,0.569848714285714,0.0266934285714286,22.7468002857143,6.33305421428571
113,0.334525642857143,0.0164345714285714,13.6496251428571,2.40508342857143
114,0.787832785714286,0.0255597142857143,16.3818698571429,3.88103157142857
115,1.37721271428571,0.0227718571428571,15.3146057142857,1.93204121428571
116,1.10985792857143,0.0343988571428571,15.3271692857143,2.09270228571429
117,0.647260142857143,0.0243037142857143,17.4744495714286,1.56263321428571
118,0.410089428571429,0.0196964285714286,15.7714334285714,0.774856
119,0.8068135,0.0247798571428571,12.9985177142857,0.340621714285714
120,0.323117357142857,0.0259757142857143,12.7196497857143,0.584586785714286
121,0.572179,0.0342260714285714,15.100666,1.84837521428571
122,0.716249928571429,0.0382084285714286,16.8216097142857,1.07134157142857
123,0.889465214285714,0.0246309285714286,15.6026349285714,0.632423857142857
124,0.606262857142857,0.0249256428571429,14.038561,0.262941714285714
125,0.544423,0.0390654285714286,12.2962073571429,1.16094907142857
