"daily_CO_mean","daily_NO2_mean","daily_O3_mean","daily_SO2_mean","weekly_CO_mean","weekly_NO2_mean","weekly_O3_mean","weekly_SO2_mean"
0.293125,2.080952,0.013375,3.76875,0.276889214285714,0.0153332857142857,2.72227885714286,4.31429128571429
0.2872915,1.820833,0.010792,3.8979165,0.210040714285714,0.0136987142857143,2.588662,2.78414064285714
0.2876085,2.954167,0.01225,4.7962735,0.182409357142857,0.0102797142857143,1.72911271428571,3.25582285714286
0.259167,3.240909,0.018458,4.5270835,0.175317071428571,0.0110614285714286,2.89385185714286,1.81380392857143
0.2545835,3.666667,0.023875,4.4041665,0.200023285714286,0.0133451428571429,3.02067085714286,2.02895957142857
0.270199,2.983333,0.016,4.5475155,0.207150714285714,0.0123154285714286,3.169834,2.09537671428571
0.28625,2.309091,0.012583,4.2583335,0.230805142857143,0.0121328571428571,3.75688314285714,2.35653728571429
0.2435145,2.17619,0.011708,3.6155845,0.230133071428571,0.0109881428571429,3.73782471428571,2.91879064285714
0.2008825,3.305556,0.011933,2.447647,0.230741571428571,0.0138394285714286,3.18024885714286,2.66046092857143
0.21,4.472222,0.0135,2.115,0.257247642857143,0.0134462857142857,11.3327201428571,2.70495257142857
0.231875,4.258333,0.010417,2.8020835,0.3651475,0.0102797142857143,14.6951837142857,3.20556785714286
0.2088045,1.733333,0.016917,2.929503,0.369556857142857,0.00909514285714286,9.00795442857143,3.46426357142857
0.19,1.05,0.017583,2.8979165,0.393149714285714,0.00954171428571429,11.9218074285714,3.554115
0.1852085,1.125,0.013833,2.68125,0.326508642857143,0.0120831428571429,6.927494,3.12959364285714
0.1965215,0.85,0.009208,2.846894,0.399364714285714,0.0106431428571429,9.53230514285714,3.42841064285714
0.201875,1.995455,0.0085,3.075,0.373015285714286,0.00883942857142857,11.6248377142857,3.90958114285714
0.2025,2.604167,0.009292,3.41875,0.667884285714286,0.0137501428571429,16.5874998571429,6.82054078571429
0.1926085,2.033333,0.0125,3.534472,0.740960142857143,0.00961657142857143,18.991154,9.62774492857143
0.1720835,0.85,0.015458,3.1708335,0.835599142857143,0.00379157142857143,21.2382035714286,12.8614130714286
0.120625,0.804167,0.012542,3.1979165,1.05561385714286,0.00477957142857143,24.7339828571429,16.2685854285714
0.190652,2.966667,0.004458,3.546894,0.917534785714286,0.00922614285714286,20.5436147142857,13.7110488571429
0.19625,3.263636,0.008389,2.937013,0.700115,0.00733928571428571,20.2011211428571,10.6512403571429
0.1970835,2.6375,0.010333,1.2791665,0.474733428571429,0.015893,15.7622835714286,6.40865135714286
0.189348,2.191667,0.013542,1.13323,0.729568571428571,0.00444628571428571,22.6514068571429,10.2188406428571
0.1675,1.984615,0.010875,1.2291665,0.629793571428571,0.00624385714285714,20.4299784285714,11.318872
0.1339585,2.9,0.01375,1.8666665,1.03974285714286,0.00256914285714286,32.8707791428571,16.2199219285714
0.1580795,3.525,0.010083,1.9618015,0.725557642857143,0.00468857142857143,27.3123015714286,11.3928309285714
0.185,3.754545,0.010458,2.2895835,0.984586,0.00507135714285714,32.5176394285714,17.4453915714286
0.154375,3.091667,0.01075,1.40625,0.799210071428571,0.00716307142857143,28.9992912857143,13.8873085
0.176848,4.45,0.012333,2.172981,0.892873214285714,0.00528271428571429,25.8093743571429,13.1612632857143
0.2083335,4.672727,0.014667,1.9604165,0.478554214285714,0.0100210714285714,19.2952920714286,9.073743
0.20375,1.7375,0.014708,1.4583335,0.329790464285714,0.0167412142857143,12.0608277857143,7.803638
0.199565,0.770833,0.015083,1.592236,0.496174142857143,0.0107143571428571,21.0126409285714,5.2044255
0.2058335,2.313636,0.014375,2.0791665,0.334729964285714,0.0217975714285714,10.1250417142857,3.95678128571429
0.251458,4.108333,0.0115,3.5333335,0.271101892857143,0.0272977142857143,5.43140771428571,5.29946028571429
0.2127275,3.808696,0.010333,2.0664595,0.255022785714286,0.0284672857142857,4.97968057142857,5.45563621428571
0.2195835,3.368182,0.010917,2.80625,0.254012535714286,0.0259465,6.43655614285714,5.88676242857143
0.2010415,3.479167,0.011958,2.09375,0.212676357142857,0.0261371428571429,5.07360214285714,6.30516307142857
0.183315,4.595833,0.012917,1.9152175,0.2658755,0.0272172857142857,4.93428035714286,6.95147335714286
0.2510415,3.336364,0.012208,1.7375,0.27910325,0.0333660714285714,5.69445692857143,7.24800728571429
0.1860415,1.879167,0.013125,1.9354165,0.21896675,0.0325892142857143,4.64748728571429,7.98196707142857
0.1963045,1.721429,0.01475,2.1130435,0.196947392857143,0.0260237142857143,3.18965507142857,2.09245457142857
0.23625,4.225,0.011417,2.0625,0.191312,0.023863,3.05752621428571,1.12718871428571
0.232292,3.95,0.014625,2.2458335,0.198799142857143,0.0239950714285714,3.47656242857143,1.63265478571429
0.2133335,3.913333,0.0125,2.28,0.446070107142857,0.0287560714285714,4.54499471428571,2.03569028571429
0.242202,4.591667,0.012929,2.6416665,0.513865107142857,0.0179965714285714,4.19240257142857,3.34798878571429
0.2252085,3.091667,0.013292,2.3520835,0.695556464285714,0.0213391428571429,4.52050871428571,3.96662971428571
0.227808,4.258333,0.00975,2.528261,0.25247925,0.0180683571428571,3.83212528571429,3.09147821428571
0.238542,2.268182,0.010417,2.3854165,0.210655821428571,0.012221,2.66117042857143,2.96089364285714
0.219583,2.395833,0.009167,2.4916665,0.305527285714286,0.0120290714285714,3.57287335714286,3.80237178571429
0.246739,2.516667,0.010042,2.979193,0.244583642857143,0.0125327142857143,3.56785721428571,4.09843571428571
