"n_months","m_CO_mean","m_NO2_mean","m_O3_mean","m_SO2_mean"
1,0.77578505,0.0163533,17.3782467,6.25272278333333
2,0.73187795,0.0231424666666667,22.1072291666667,3.07786435
3,0.758226733333333,0.0235495,18.9000992666667,2.87590278333333
4,0.649587783333333,0.0260653333333333,16.6645093,3.08546591666667
5,0.659661966666667,0.0238012,13.9735931,2.06246823333333
6,0.822937033333333,0.0219647666666667,14.6398392333333,2.2660187
7,0.73653895,0.0361462666666667,14.9160338333333,2.3197699
8,0.508125016666667,0.0328516666666667,15.4953009666667,2.62780816666667
9,0.819225016666667,0.0273778333333333,15.0851551666667,4.59050505
10,0.805098666666667,0.0271215,19.6238185666667,4.04932723333333
11,0.93733135,0.0174958,19.2300859,2.73138933333333
12,0.8618071,0.0110651,21.0910949666667,7.20706996666667
13,0.901288183333333,0.0138343,18.1113378333333,7.69349856666667
14,0.834677016666667,0.0187354666666667,21.4841113666667,6.92801811666667
15,0.923263916666667,0.0268478333333333,17.3106158333333,8.2731115
16,0.658646533333333,0.0270769,11.9886003,6.36842263333333
17,0.674709316666667,0.0353703666666667,14.4012460666667,2.49686306666667
18,0.788170133333333,0.0215805,12.3168565333333,1.67985621666667
19,0.733417883333333,0.0287166666666667,16.1678842666667,1.65828466666667
20,0.7794153,0.0223959,15.343854,1.25016428333333
21,0.9213013,0.0204425666666667,16.4323727,1.81746491666667
22,0.800663666666667,0.0233787,18.0130958,1.3842686
23,0.925952583333333,0.0216621666666667,23.7071775666667,1.8163697
24,0.930226466666667,0.0150635333333333,21.0400199,3.63545851666667
25,0.791327116666667,0.0143823,25.3930170666667,4.04669723333333
26,0.671006833333333,0.0199139,22.3106612333333,4.05714358333333
27,0.852059033333333,0.0252642,15.6983183333333,3.1724145
28,0.5848752,0.0238138333333333,14.9274209833333,0.864242666666667
29,0.681218775,0.0309180333333333,15.2123342,0.9632656
30,0.804259558333333,0.0246939,14.8421552333333,1.12697206666667
31,0.642344908333333,0.0245042333333333,14.26265755,1.38354091666667
32,0.53867545,0.0222200833333333,16.5920613666667,1.16508416666667
33,0.776524741666667,0.0199312666666667,13.3317056,1.84545795
34,0.572481933333333,0.01491845,17.4087561,3.03088076666667
35,0.86624215,0.0128687,24.44347195,6.08107531666667
36,0.886276833333333,0.0172935,23.1371153833333,4.432692
37,0.582790858333333,0.0185381333333333,18.7925471666667,4.1977203
38,0.64451285,0.0160125333333333,17.4764739,3.5986073
39,0.752328716666667,0.0237737,18.2377634833333,3.8818838
40,0.654234533333333,0.0277590666666667,14.34328885,3.18219615
41,0.513983258333333,0.02957705,12.9646423666667,2.72070868333333
42,0.603783716666667,0.0160583166666667,11.3274621833333,2.7010362
43,0.61592165,0.0217626833333333,10.40547825,3.17654335
44,0.622259641666667,0.0216305,12.1080064666667,2.53591365
45,0.789965233333333,0.0270438,15.1207071333333,2.88072123333333
46,0.734244516666667,0.0193072166666667,17.9881561,2.27497135
47,0.628693016666667,0.0146882166666667,18.0974936666667,4.32234796666667
48,0.717494291666667,0.0143321,18.2812280833333,4.31477086666667
49,0.751605716666667,0.01615095,20.2648203833333,4.45797058333333
50,0.603839058333333,0.0237325833333333,16.3609692166667,3.43706703333333
51,0.663680983333333,0.0315361833333333,19.508724,3.12485576666667
52,0.371368408333333,0.03125715,18.74179245,3.47987163333333
